season,episode_num_in_season,episode_num_overall,title,directed_by,written_by,original_air_date,us_viewers,imdb_rating,total_votes,desc
1,1,1,Winter Is Coming,Tim Van Patten,David Benioff & D. B. Weiss,2011-04-17,2220000.0,9.0,46180,Eddard Stark is torn between his family and an old friend when asked to serve at the side of King Robert Baratheon; Viserys plans to wed his sister to a nomadic warlord in exchange for an army.
1,2,2,The Kingsroad,Tim Van Patten,David Benioff & D. B. Weiss,2011-04-24,2200000.0,8.6,35052,"While Bran recovers from his fall, Ned takes only his daughters to King's Landing. Jon Snow goes with his uncle Benjen to the Wall. Tyrion joins them."
1,3,3,Lord Snow,Brian Kirk,David Benioff & D. B. Weiss,2011-05-01,2440000.0,8.5,33200,Jon begins his training with the Night's Watch; Ned confronts his past and future at King's Landing; Daenerys finds herself at odds with Viserys.
1,4,4,"Cripples, Bastards, and Broken Things",Brian Kirk,Bryan Cogman,2011-05-08,2450000.0,8.6,31558,"Eddard investigates Jon Arryn's murder. Jon befriends Samwell Tarly, a coward who has come to join the Night's Watch."
1,5,5,The Wolf and the Lion,Brian Kirk,David Benioff & D. B. Weiss,2011-05-15,2580000.0,9.0,32818,"Catelyn has captured Tyrion and plans to bring him to her sister, Lysa Arryn, at the Vale, to be tried for his, supposed, crimes against Bran. Robert plans to have Daenerys killed, but Eddard refuses to be a part of it and quits."
1,6,6,A Golden Crown,Daniel Minahan,Story by: David Benioff & D. B. WeissTeleplay by: Jane Espenson and David Benioff & D. B. Weiss,2011-05-22,2440000.0,9.1,32463,"While recovering from his battle with Jaime, Eddard is forced to run the kingdom while Robert goes hunting. Tyrion demands a trial by combat for his freedom. Viserys is losing his patience with Drogo."
1,7,7,You Win or You Die,Daniel Minahan,David Benioff & D. B. Weiss,2011-05-29,2400000.0,9.1,32981,"Robert has been injured while hunting and is dying. Jon and the others finally take their vows to the Night's Watch. A man, sent by Robert, is captured for trying to poison Daenerys. Furious, Drogo vows to attack the Seven Kingdoms."
1,8,8,The Pointy End,Daniel Minahan,George R. R. Martin,2011-06-05,2720000.0,8.9,30858,The Lannisters press their advantage over the Starks; Robb rallies his father's northern allies and heads south to war; The White Walkers attack the Wall; Tyrion returns to his father with some new friends.
1,9,9,Baelor,Alan Taylor,David Benioff & D. B. Weiss,2011-06-12,2660000.0,9.6,43099,Robb goes to war against the Lannisters. Jon finds himself struggling on deciding if his place is with Robb or the Night's Watch. Drogo has fallen ill from a fresh battle wound. Daenerys is desperate to save him.
1,10,10,Fire and Blood,Alan Taylor,David Benioff & D. B. Weiss,2011-06-19,3040000.0,9.4,37958,Robb vows to get revenge on the Lannisters. Jon must officially decide if his place is with Robb or the Night's Watch. Daenerys says her final goodbye to Drogo.
2,1,11,The North Remembers,Alan Taylor,David Benioff & D. B. Weiss,2012-04-01,3860000.0,8.7,29636,Tyrion arrives at King's Landing to take his father's place as Hand of the King. Stannis Baratheon plans to take the Iron Throne for his own. Robb tries to decide his next move in the war. The Night's Watch arrive at the house of Craster.
2,2,12,The Night Lands,Alan Taylor,David Benioff & D. B. Weiss,2012-04-08,3760000.0,8.4,28086,"Arya makes friends with Gendry. Tyrion tries to take control of the Small Council. Theon arrives at his home, Pyke, in order to persuade his father into helping Robb with the war. Jon tries to investigate Craster's secret."
2,3,13,What Is Dead May Never Die,Alik Sakharov,Bryan Cogman,2012-04-15,3770000.0,8.7,27773,Tyrion tries to see who he can trust in the Small Council. Catelyn visits Renly to try and persuade him to join Robb in the war. Theon must decide if his loyalties lie with his own family or with Robb.
2,4,14,Garden of Bones,David Petrarca,Vanessa Taylor,2012-04-22,3650000.0,8.6,26928,"Lord Baelish arrives at Renly's camp just before he faces off against Stannis. Daenerys and her company are welcomed into the city of Qarth. Arya, Gendry, and Hot Pie find themselves imprisoned at Harrenhal."
2,5,15,The Ghost of Harrenhal,David Petrarca,David Benioff & D. B. Weiss,2012-04-29,3900000.0,8.6,27098,"Tyrion investigates a secret weapon that King Joffrey plans to use against Stannis. Meanwhile, as a token for saving his life, Jaqen H'ghar offers to kill three people that Arya chooses."
2,6,16,The Old Gods and the New,David Nutter,Vanessa Taylor,2012-05-06,3880000.0,8.9,28266,"Theon seizes control of Winterfell. Jon captures a wildling, named Ygritte. The people of King's Landing begin to turn against King Joffrey. Daenerys looks to buy ships to sail for the Seven Kingdoms."
2,7,17,A Man Without Honor,David Nutter,David Benioff & D. B. Weiss,2012-05-13,3690000.0,8.8,27522,Bran and Rickon have escaped Winterfell. Theon tries to hunt them down. Daenerys' dragons have been stolen. Jon travels through the wilderness with Ygritte as his prisoner. Sansa has bled and is now ready to have Joffrey's children.
2,8,18,The Prince of Winterfell,Alan Taylor,David Benioff & D. B. Weiss,2012-05-20,3860000.0,8.6,27224,"Stannis is just days from King's Landing. Tyrion prepares for his arrival. Jon and Qhorin are taken prisoner by the wildlings. Catelyn is arrested for releasing Jaime. Arya, Gendry, and Hot Pie plan to escape from Harrenhal."
2,9,19,Blackwater,Neil Marshall,George R. R. Martin,2012-05-27,3380000.0,9.6,46797,Stannis Baratheon's fleet and army arrive at King's Landing and the battle for the city begins. Cersei plans for her and her children's future.
